FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?,username
Pam ,Bondi,AGPamBondi,,R,Attorney General ,Current,AGPamBondi
Doug,Burgum,SecretaryBurgum,,R,Secretary of the Interior,Current,SecretaryBurgum
Doug,Collins,SecVetAffairs,,R,Secretary of Veterans Affairs,Current,SecVetAffairs
Tulsi ,Gabbard,TulsiGabbard,,R,Director of National Intelligence,Current,TulsiGabbard
Jamieson,Greer,jamiesongreer,,R,United States Trade Representative,Current,jamiesongreer
Pete ,Hegseth,SecWar,,R,Secretary of War,Current,SecWar
Kelly,Loeffler,SBA_Kelly,,R,Administrator of the Small Business Administration,Current,SBA_Kelly
Howard,Lutnick,howardlutnick,,R,Secretary of Commerce,Current,howardlutnick
John,Ratcliffe,CIADirector,,R,Director of the Central Intelligence Agency,Current,CIADirector
Brooke,Rollins,SecRollins,,R,Secretary of Agriculture,Current,SecRollins
Scott,Turner,SecretaryTurner,,R,Secretary of Housing and Urban Development,Current,SecretaryTurner
Russ,Vought,russvought,,R,Director of the Office of Management and Budget,Current,russvought
Chris,Wright,SecretaryWright,,R,Secretary of Energy,Current,SecretaryWright
Lee,Zeldin,LeeMZeldin,,R,Administrator of the Environmental Protection Agency,Current,LeeMZeldin
Susie,Wiles,SusieWiles,,R,White House Chief of Staff,Current,SusieWiles
Joe,Biden,JoeBiden,,D,President of the United States,Past,JoeBiden
Kamala ,Harris,KamalaHarris,,D,Vice President of the United States,Past,KamalaHarris
Isabel,Guzman,SBAIsabel,,D,Administrator of the Small Business Administration,Past,SBAIsabel
Arati,Prabhakar,WHOSTP,,D,Director of the Office of Science and Technology Policy,Past,WHOSTP
Shalanda,Young,ShalandaYoung46,,D,Director of the U.S. Office of Management and Budget,Past,ShalandaYoung46
Linda,Thomas-Greenfield,LindaT_G,,D,U.S. Ambassador to the United Nations,Past,LindaT_G
Tom,Vilsack,SecVilsack,,D,U.S. Secretary of Agriculture,Past,SecVilsack
Gina,Raimondo,GinaRaimondo,,D,U.S. Secretary of Commerce,Past,GinaRaimondo
Lloyd,Austin,SecDefAustin,,D,U.S. Secretary of Defense,Past,SecDefAustin
Miguel,Cardona,teachcardona,,D,U.S. Secretary of Education,Past,teachcardona
Jennifer,Granholm,SecGranholm,,D,U.S. Secretary of Energy,Past,SecGranholm
Xavier,Becerra,XavierBecerra,,D,U.S. Secretary of Health and Human Services,Past,XavierBecerra
Alejandro,Mayorkas,AliMayorkas,,D,U.S. Secretary of Homeland Security,Past,AliMayorkas
Adrianne,Todman,DepSecTodman,,D,U.S. Secretary of Housing and Urban Development,Past,DepSecTodman
Julie,Su,ActSecJulieSu,,D,U.S. Secretary of Labor,Past,ActSecJulieSu
Antony,Blinken,ABlinken,,D,U.S. Secretary of State,Past,ABlinken
Debra,Haaland,SecDebHaaland,,D,U.S. Secretary of the Interior,Past,SecDebHaaland
Janet,Yellen,SecYellen,,D,U.S. Secretary of the Treasury,Past,SecYellen
Pete,Buttigieg,PeteButtigieg,,D,U.S. Secretary of Transportation,Past,PeteButtigieg
Denis,McDonough,DenisMcDonough,,D,U.S. Secretary of Veterans Affairs,Past,DenisMcDonough
Katherine,Tai,AmbassadorTai,,D,U.S. Trade Representative,Past,AmbassadorTai
Jeff,Zients,JeffZients,,D,White House Chief of Staff,Past,JeffZients
Phillip,Swagel,USCBO,,R,Director of the Congressional Budget Office,Current,USCBO
